model_id_1,model_id_2,same_lineage,same_architecture,same_family,different_architecture,hard_negative
A001,A002,False,False,False,True,False
A001,A003,False,False,False,True,False
A001,A004,False,False,False,True,False
A001,A005,False,False,False,True,False
A001,A006,False,False,False,True,False
A001,A007,False,False,False,True,False
A001,A008,False,False,False,True,False
A001,A009,False,False,False,True,False
A001,A010,False,False,False,True,False
A001,A011,False,False,False,True,False
A001,A012,False,False,False,True,False
A001,A013,False,False,False,True,False
A001,A014,False,False,False,True,False
A001,A015,False,False,False,True,False
A001,A016,False,False,False,True,False
A001,A017,False,False,False,True,False
A001,A018,False,False,False,True,False
A001,A019,False,False,False,True,False
A001,A020,False,False,False,True,False
A001,A021,False,False,False,True,False
A001,A022,False,False,False,True,False
A001,A023,False,False,False,True,False
A001,A024,False,False,False,True,False
A001,A025,False,False,False,True,False
A001,A026,False,False,False,True,False
A001,A027,False,False,False,True,False
A001,A028,False,False,False,True,False
A001,A029,False,False,False,True,False
A001,A030,False,False,False,True,False
A001,B001,False,False,False,True,False
A001,B002,False,False,False,True,False
A001,B003,False,False,False,True,False
A001,B004,False,False,False,True,False
A001,B005,False,False,False,True,False
A001,B006,False,False,False,True,False
A001,B007,False,False,False,True,False
A001,B008,False,False,False,True,False
A001,B009,False,False,False,True,False
A001,B010,False,False,False,True,False
A001,B011,False,False,False,True,False
A001,B012,False,False,False,True,False
A001,B013,False,False,False,True,False
A001,B014,False,False,False,True,False
A001,B015,False,False,False,True,False
A001,B016,False,False,False,True,False
A001,B017,False,False,False,True,False
A001,B018,False,False,False,True,False
A001,B019,False,False,False,True,False
A001,B020,False,False,False,True,False
A001,B021,False,False,False,True,False
A001,B022,False,False,False,True,False
A001,B023,False,False,False,True,False
A001,B024,False,False,False,True,False
A001,B025,False,False,False,True,False
A001,B026,False,False,False,True,False
A001,B027,False,False,False,True,False
A001,B028,False,False,False,True,False
A001,B029,False,False,False,True,False
A001,B030,False,False,False,True,False
A001,B2_001,False,False,False,True,False
A001,B2_002,False,False,False,True,False
A001,B2_003,False,False,False,True,False
A001,B2_004,False,False,False,True,False
A001,B2_005,False,False,False,True,False
A001,B2_006,False,False,False,True,False
A001,B2_007,False,False,False,True,False
A001,B2_008,False,False,False,True,False
A001,B2_009,False,False,False,True,False
A001,B2_010,False,False,False,True,False
A001,B2_011,False,False,False,True,False
A001,B2_012,False,False,False,True,False
A001,B2_013,False,False,False,True,False
A001,B2_014,False,False,False,True,False
A001,B2_015,False,False,False,True,False
A001,B2_016,False,False,False,True,False
A001,B2_017,False,False,False,True,False
A001,B2_018,False,False,False,True,False
A001,B2_019,False,False,False,True,False
A001,B2_020,False,False,False,True,False
A001,B2_021,False,False,False,True,False
A001,B2_022,False,False,False,True,False
A001,B2_023,False,False,False,True,False
A001,B2_024,False,False,False,True,False
A001,B2_025,False,False,False,True,False
A001,B2_026,False,False,False,True,False
A001,B2_027,False,False,False,True,False
A001,B2_028,False,False,False,True,False
A001,B2_029,False,False,False,True,False
A001,B2_030,False,False,False,True,False
A001,C001,True,True,True,False,False
A001,C002,True,True,True,False,False
A001,C003,True,True,True,False,False
A001,C004,True,True,True,False,False
A001,C005,False,False,False,True,False
A001,C006,False,False,False,True,False
A001,C007,False,False,False,True,False
A001,C008,False,False,False,True,False
A001,C009,False,False,False,True,False
A001,C010,False,False,False,True,False
A001,C011,False,False,False,True,False
A001,C012,False,False,False,True,False
A001,C013,False,False,False,True,False
A001,C014,False,False,False,True,False
A001,C015,False,False,False,True,False
A001,C016,False,False,False,True,False
A001,C017,False,False,False,True,False
A001,C018,False,False,False,True,False
A001,C019,False,False,False,True,False
A001,C020,False,False,False,True,False
A001,C021,False,False,False,True,False
A001,C022,False,False,False,True,False
A001,C023,False,False,False,True,False
A001,C024,False,False,False,True,False
A001,C025,False,False,False,True,False
A001,C026,False,False,False,True,False
A001,C027,False,False,False,True,False
A001,C028,False,False,False,True,False
A001,C029,False,False,False,True,False
A001,C030,False,False,False,True,False
A001,C031,False,False,False,True,False
A001,C032,False,False,False,True,False
A001,C033,False,False,False,True,False
A001,C034,False,False,False,True,False
A001,C035,False,False,False,True,False
A001,C036,False,False,False,True,False
A001,C037,False,False,False,True,False
A001,C038,False,False,False,True,False
A001,C039,False,False,False,True,False
A001,C040,False,False,False,True,False
A001,C041,False,False,False,True,False
A001,C042,False,False,False,True,False
A001,C043,False,False,False,True,False
A001,C044,False,False,False,True,False
A001,C045,False,False,False,True,False
A001,C046,False,False,False,True,False
A001,C047,False,False,False,True,False
A001,C048,False,False,False,True,False
A001,C049,False,False,False,True,False
A001,C050,False,False,False,True,False
A001,C051,False,False,False,True,False
A001,C052,False,False,False,True,False
A001,C053,False,False,False,True,False
A001,C054,False,False,False,True,False
A001,C055,False,False,False,True,False
A001,C056,False,False,False,True,False
A001,C057,False,False,False,True,False
A001,C058,False,False,False,True,False
A001,C059,False,False,False,True,False
A001,C060,False,False,False,True,False
A001,C061,False,False,False,True,False
A001,C062,False,False,False,True,False
A001,C063,False,False,False,True,False
A001,C064,False,False,False,True,False
A001,C065,False,False,False,True,False
A001,C066,False,False,False,True,False
A001,C067,False,False,False,True,False
A001,C068,False,False,False,True,False
A001,C069,False,False,False,True,False
A001,C070,False,False,False,True,False
A001,C071,False,False,False,True,False
A001,C072,False,False,False,True,False
A001,C073,False,False,False,True,False
A001,C074,False,False,False,True,False
A001,C075,False,False,False,True,False
A001,C076,False,False,False,True,False
A001,C077,False,False,False,True,False
A001,C078,False,False,False,True,False
A001,C079,False,False,False,True,False
A001,C080,False,False,False,True,False
A001,C081,False,False,False,True,False
A001,C082,False,False,False,True,False
A001,C083,False,False,False,True,False
A001,C084,False,False,False,True,False
A001,C085,False,False,False,True,False
A001,C086,False,False,False,True,False
A001,C087,False,False,False,True,False
A001,C088,False,False,False,True,False
A001,C089,False,False,False,True,False
A001,C090,False,False,False,True,False
A001,C091,False,False,False,True,False
A001,C092,False,False,False,True,False
A001,C093,False,False,False,True,False
A001,C094,False,False,False,True,False
A001,C095,False,False,False,True,False
A001,C096,False,False,False,True,False
A001,C097,False,False,False,True,False
A001,C098,False,False,False,True,False
A001,C099,False,False,False,True,False
A001,C100,False,False,False,True,False
A001,C101,False,False,False,True,False
A001,C102,False,False,False,True,False
A001,C103,False,False,False,True,False
A001,C104,False,False,False,True,False
A001,C105,False,False,False,True,False
A001,C106,False,False,False,True,False
A001,C107,False,False,False,True,False
A001,C108,False,False,False,True,False
A001,C109,False,False,False,True,False
A001,C110,False,False,False,True,False
A001,C111,False,False,False,True,False
A001,C112,False,False,False,True,False
A001,C113,False,False,False,True,False
A001,C114,False,False,False,True,False
A001,C115,False,False,False,True,False
A001,C116,False,False,False,True,False
A001,C117,False,False,False,True,False
A001,C118,False,False,False,True,False
A001,C119,False,False,False,True,False
A001,C120,False,False,False,True,False
A002,A003,False,False,True,True,False
A002,A004,False,False,True,True,False
A002,A005,False,False,False,True,False
A002,A006,False,False,False,True,False
A002,A007,False,False,False,True,False
A002,A008,False,False,False,True,False
A002,A009,False,False,False,True,False
A002,A010,False,False,False,True,False
A002,A011,False,False,False,True,False
A002,A012,False,False,False,True,False
A002,A013,False,False,False,True,False
A002,A014,False,False,False,True,False
A002,A015,False,False,False,True,False
A002,A016,False,False,False,True,False
A002,A017,False,False,False,True,False
A002,A018,False,False,False,True,False
A002,A019,False,False,False,True,False
A002,A020,False,False,False,True,False
A002,A021,False,False,False,True,False
A002,A022,False,False,False,True,False
A002,A023,False,False,False,True,False
A002,A024,False,False,False,True,False
A002,A025,False,False,False,True,False
A002,A026,False,False,False,True,False
A002,A027,False,False,False,True,False
A002,A028,False,False,False,True,False
A002,A029,False,False,False,True,False
A002,A030,False,False,False,True,False
A002,B001,False,False,True,True,False
A002,B002,False,False,True,True,False
A002,B003,False,False,True,True,False
A002,B004,False,False,True,True,False
A002,B005,False,False,True,True,False
A002,B006,False,False,True,True,False
A002,B007,False,False,True,True,False
A002,B008,False,False,True,True,False
A002,B009,False,False,True,True,False
A002,B010,False,False,True,True,False
A002,B011,False,False,True,True,False
A002,B012,False,False,True,True,False
A002,B013,False,False,True,True,False
A002,B014,False,False,True,True,False
A002,B015,False,False,True,True,False
A002,B016,False,False,True,True,False
A002,B017,False,False,True,True,False
A002,B018,False,False,True,True,False
A002,B019,False,False,True,True,False
A002,B020,False,False,True,True,False
A002,B021,False,False,True,True,False
A002,B022,False,False,True,True,False
A002,B023,False,False,True,True,False
A002,B024,False,False,True,True,False
A002,B025,False,False,True,True,False
A002,B026,False,False,True,True,False
A002,B027,False,False,True,True,False
A002,B028,False,False,True,True,False
A002,B029,False,False,True,True,False
A002,B030,False,False,True,True,False
A002,B2_001,False,False,True,True,False
A002,B2_002,False,False,True,True,False
A002,B2_003,False,False,True,True,False
A002,B2_004,False,False,True,True,False
A002,B2_005,False,False,True,True,False
A002,B2_006,False,False,True,True,False
A002,B2_007,False,False,True,True,False
A002,B2_008,False,False,True,True,False
A002,B2_009,False,False,True,True,False
A002,B2_010,False,False,True,True,False
A002,B2_011,False,False,True,True,False
A002,B2_012,False,False,True,True,False
A002,B2_013,False,False,True,True,False
A002,B2_014,False,False,True,True,False
A002,B2_015,False,False,True,True,False
A002,B2_016,False,False,True,True,False
A002,B2_017,False,False,True,True,False
A002,B2_018,False,False,True,True,False
A002,B2_019,False,False,True,True,False
A002,B2_020,False,False,True,True,False
A002,B2_021,False,False,True,True,False
A002,B2_022,False,False,True,True,False
